rol,recurso,ubicacion,rango_horario,accion,label,interarrival_time,timestamp
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.007,2.536
AnonimoExterno,finger,Externa,media,conexion,normal,0.297,2.834
Interno,telnet,Externa,media,conexion,normal,0.337,3.171
Interno,http,Externa,corta,consulta,normal,0.165,3.336
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.036,3.372
AnonimoExterno,private,Externa,larga,conexion,normal,0.01,3.383
AnonimoExterno,printer,Externa,muy_corta,conexion,neptune,0.115,3.498
Interno,smtp,Externa,corta,envio,normal,0.058,3.556
Interno,telnet,Externa,corta,conexion,normal,0.013,3.569
AnonimoExterno,auth,Externa,muy_corta,conexion,normal,0.068,3.637
AnonimoExterno,IRC,Externa,media,conexion,normal,0.003,3.641
AnonimoExterno,urp_i,Externa,muy_corta,conexion,satan,0.24,3.881
Interno,smtp,Externa,muy_corta,envio,normal,0.03,3.911
Interno,telnet,Externa,media,conexion,normal,0.109,4.019
AnonimoExterno,X11,Externa,muy_corta,conexion,xsnoop,0.037,4.057
Interno,telnet,Externa,larga,conexion,normal,0.073,4.13
AnonimoExterno,private,Externa,corta,conexion,normal,0.079,4.209
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,named,0.02,4.23
AnonimoExterno,auth,Externa,corta,conexion,normal,0.349,4.579
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,neptune,0.149,4.728
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.281,5.009
AnonimoExterno,link,Externa,corta,conexion,normal,0.225,5.234
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.091,5.325
Interno,telnet,Externa,media,conexion,normal,0.255,5.58
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.009,5.589
AnonimoExterno,auth,Externa,corta,conexion,normal,0.022,5.611
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.005,5.616
Interno,http,Externa,corta,consulta,apache2,0.039,5.655
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.049,5.704
Invitado,ftp,Externa,media,subida,normal,0.032,5.736
AnonimoExterno,finger,Externa,corta,conexion,normal,0.176,5.912
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.044,5.957
Interno,http,Externa,muy_larga,consulta,normal,0.033,5.989
AnonimoExterno,private,Externa,corta,conexion,normal,0.078,6.068
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.015,6.083
AnonimoExterno,telnet,Externa,muy_corta,conexion,guess_passwd,0.162,6.245
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.008,6.253
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.433,6.686
Interno,telnet,Externa,muy_larga,conexion,normal,0.148,6.834
AnonimoExterno,finger,Externa,corta,conexion,normal,0.022,6.856
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.001,6.857
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.169,7.026
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.123,7.148
AnonimoExterno,finger,Externa,media,conexion,normal,0.131,7.279
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.148,7.427
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.008,7.434
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.044,7.479
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.012,7.491
Interno,telnet,Externa,muy_larga,conexion,normal,0.199,7.69
AnonimoExterno,telnet,Externa,media,conexion,normal,0.098,7.787
AnonimoExterno,link,Externa,corta,conexion,normal,0.04,7.828
AnonimoExterno,private,Externa,larga,conexion,normal,0.007,7.834
Interno,http,Externa,muy_corta,consulta,normal,0.037,7.871
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.039,7.911
AnonimoExterno,ldap,Externa,muy_corta,conexion,neptune,0.131,8.042
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.101,8.143
AnonimoExterno,auth,Externa,corta,conexion,normal,0.218,8.361
Interno,telnet,Externa,larga,conexion,normal,0.064,8.425
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.013,8.438
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.125,8.563
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.143,8.706
Interno,smtp,Externa,media,envio,normal,0.082,8.788
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.147,8.936
Interno,pop_3,Externa,corta,conexion,normal,0.068,9.004
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.074,9.078
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.056,9.133
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.003,9.136
AnonimoExterno,domain_u,Externa,muy_corta,lectura,satan,0.011,9.147
Invitado,ftp,Externa,larga,subida,normal,0.003,9.151
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.101,9.252
AnonimoExterno,other,Externa,larga,conexion,httptunnel,0.038,9.29
Interno,ftp,Externa,larga,subida,normal,0.071,9.361
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.238,9.599
AnonimoExterno,auth,Externa,muy_corta,conexion,normal,0.029,9.627
Interno,smtp,Externa,muy_corta,envio,normal,0.053,9.68
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,ps,0.141,9.821
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.026,9.847
AnonimoExterno,ssh,Externa,muy_corta,conexion,neptune,0.008,9.855
AnonimoExterno,ftp,Externa,corta,subida,normal,0.034,9.889
AnonimoExterno,sunrpc,Externa,muy_corta,conexion,neptune,0.018,9.907
AnonimoExterno,netstat,Externa,muy_corta,conexion,neptune,0.265,10.172
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,ipsweep,0.165,10.338
Interno,smtp,Externa,muy_corta,envio,normal,0.1,10.438
Interno,telnet,Externa,media,conexion,normal,0.205,10.643
AnonimoExterno,X11,Externa,muy_corta,conexion,normal,0.163,10.806
AnonimoExterno,netstat,Externa,muy_corta,conexion,portsweep,0.021,10.826
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.223,11.05
Interno,pop_3,Externa,muy_corta,conexion,normal,0.078,11.127
Interno,telnet,Externa,corta,conexion,worm,0.165,11.292
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.226,11.518
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.038,11.556
Interno,telnet,Externa,larga,conexion,normal,0.012,11.568
Interno,smtp,Externa,muy_corta,envio,normal,0.026,11.594
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.056,11.65
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.17,11.82
Interno,http,Externa,muy_larga,consulta,normal,0.197,12.017
AnonimoExterno,telnet,Externa,media,conexion,guess_passwd,0.001,12.018
Interno,telnet,Externa,corta,conexion,guess_passwd,0.071,12.089
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.054,12.143
Interno,http,Externa,muy_corta,consulta,phf,0.025,12.169
Interno,ftp,Externa,larga,subida,normal,0.013,12.181
Interno,smtp,Externa,media,envio,mailbomb,0.041,12.223
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.286,12.509
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.039,12.548
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.073,12.621
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.121,12.742
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.045,12.788
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.357,13.144
Interno,http,Externa,corta,consulta,normal,0.328,13.473
Interno,http,Externa,corta,consulta,normal,0.029,13.502
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.069,13.57
AnonimoExterno,private,Externa,larga,conexion,normal,0.036,13.606
AnonimoExterno,private,Externa,muy_corta,conexion,satan,0.034,13.64
AnonimoExterno,pop_2,Externa,muy_corta,conexion,neptune,0.004,13.643
Invitado,telnet,Externa,larga,conexion,multihop,0.094,13.737
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.07,13.807
AnonimoExterno,telnet,Externa,muy_corta,conexion,mscan,0.005,13.813
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.033,13.845
AnonimoExterno,other,Externa,muy_larga,conexion,normal,0.239,14.084
AnonimoExterno,link,Externa,corta,conexion,normal,0.027,14.112
AnonimoExterno,domain,Externa,muy_corta,conexion,named,0.016,14.127
Interno,telnet,Externa,media,conexion,normal,0.067,14.194
InternoPrivilegiado,telnet,Externa,larga,conexion,xsnoop,0.424,14.619
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.028,14.647
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.112,14.758
Interno,http,Externa,muy_larga,consulta,normal,0.143,14.901
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.027,14.929
AnonimoExterno,other,Externa,corta,conexion,saint,0.13,15.059
Interno,telnet,Externa,muy_larga,conexion,normal,0.046,15.105
AnonimoExterno,auth,Externa,corta,conexion,normal,0.1,15.205
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.1,15.305
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.077,15.382
Interno,http,Externa,muy_corta,consulta,portsweep,0.009,15.391
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.18,15.572
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.039,15.61
Invitado,ftp,Externa,larga,subida,normal,0.021,15.631
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.004,15.635
Interno,http,Externa,muy_larga,consulta,normal,0.089,15.725
AnonimoExterno,private,Externa,corta,conexion,normal,0.113,15.838
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.002,15.839
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.072,15.911
AnonimoExterno,private,Externa,muy_corta,conexion,udpstorm,0.026,15.937
AnonimoExterno,tftp_u,Externa,muy_corta,conexion,normal,0.104,16.041
Interno,pop_3,Externa,corta,conexion,normal,0.019,16.06
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.117,16.177
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.049,16.226
AnonimoExterno,other,Externa,muy_corta,conexion,neptune,0.276,16.502
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.015,16.517
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.042,16.559
Interno,telnet,Externa,media,conexion,normal,0.012,16.571
Interno,pop_3,Externa,muy_corta,conexion,normal,0.259,16.829
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.21,17.039
AnonimoExterno,private,Externa,muy_corta,conexion,snmpguess,0.03,17.069
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.108,17.177
AnonimoExterno,link,Externa,corta,conexion,normal,0.17,17.347
Interno,http,Externa,muy_corta,consulta,normal,0.081,17.428
AnonimoExterno,systat,Externa,muy_corta,conexion,portsweep,0.075,17.503
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.028,17.531
AnonimoExterno,nnsp,Externa,muy_corta,conexion,neptune,0.01,17.541
Interno,telnet,Externa,muy_larga,conexion,multihop,0.228,17.768
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.231,17.999
AnonimoExterno,finger,Externa,corta,conexion,normal,0.1,18.099
AnonimoExterno,private,Externa,larga,conexion,normal,0.041,18.14
Interno,telnet,Externa,media,conexion,normal,0.043,18.183
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.129,18.313
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.227,18.54
Interno,smtp,Externa,larga,envio,normal,0.218,18.758
AnonimoExterno,private,Externa,corta,conexion,normal,0.151,18.91
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.103,19.012
Interno,http,Externa,larga,consulta,normal,0.009,19.021
AnonimoExterno,telnet,Externa,media,conexion,normal,0.018,19.039
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.229,19.268
AnonimoExterno,sql_net,Externa,muy_corta,conexion,neptune,0.093,19.361
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.001,19.362
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.011,19.373
AnonimoExterno,urp_i,Externa,muy_corta,conexion,multihop,0.109,19.481
Interno,pop_3,Externa,corta,conexion,normal,0.001,19.482
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,saint,0.018,19.5
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.08,19.579
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.118,19.697
AnonimoExterno,domain,Externa,muy_corta,conexion,nmap,0.106,19.802
Interno,ftp_data,Externa,muy_corta,descarga,warezmaster,0.025,19.828
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.125,19.952
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.027,19.979
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.039,20.019
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.137,20.156
Interno,pop_3,Externa,muy_corta,conexion,mscan,0.105,20.261
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.189,20.45
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.107,20.557
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.084,20.641
AnonimoExterno,imap4,Externa,corta,conexion,mscan,0.01,20.651
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.046,20.697
AnonimoExterno,mtp,Externa,muy_corta,conexion,neptune,0.031,20.728
Interno,http,Externa,muy_larga,consulta,normal,0.028,20.756
AnonimoExterno,link,Externa,corta,conexion,normal,0.361,21.117
AnonimoExterno,domain_u,Externa,muy_corta,lectura,normal,0.05,21.167
AnonimoExterno,X11,Externa,muy_larga,conexion,named,0.223,21.389
Interno,ftp,Externa,larga,subida,normal,0.1,21.489
AnonimoExterno,telnet,Externa,media,conexion,normal,0.158,21.648
Invitado,ftp,Externa,media,subida,ftp_write,0.07,21.717
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.086,21.803
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.068,21.871
Interno,http,Externa,larga,consulta,normal,0.022,21.893
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.128,22.021
Interno,smtp,Externa,larga,envio,normal,0.033,22.054
AnonimoExterno,kshell,Externa,muy_corta,conexion,neptune,0.002,22.057
Interno,smtp,Externa,corta,envio,normal,0.104,22.16
Interno,smtp,Externa,larga,envio,normal,0.019,22.18
Interno,http,Externa,corta,consulta,normal,0.282,22.462
Invitado,ftp,Externa,media,subida,normal,0.308,22.77
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.246,23.016
Interno,telnet,Externa,corta,conexion,normal,0.046,23.062
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.002,23.064
AnonimoExterno,time,Externa,muy_corta,conexion,normal,0.264,23.327
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.056,23.383
AnonimoExterno,urp_i,Externa,muy_corta,conexion,normal,0.34,23.723
Interno,smtp,Externa,corta,envio,normal,0.331,24.055
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.192,24.246
AnonimoExterno,tim_i,Externa,muy_corta,conexion,normal,0.035,24.281
Interno,http,Externa,muy_larga,consulta,apache2,0.049,24.33
Interno,telnet,Externa,larga,conexion,normal,0.19,24.52
AnonimoExterno,http_443,Externa,muy_corta,conexion,portsweep,0.038,24.559
Interno,telnet,Externa,media,conexion,normal,0.019,24.577
AnonimoExterno,icmp,Externa,muy_corta,conexion,normal,0.081,24.658
AnonimoExterno,ftp,Externa,corta,subida,normal,0.275,24.934
AnonimoExterno,IRC,Externa,muy_corta,conexion,saint,0.119,25.053
AnonimoExterno,systat,Externa,muy_corta,conexion,neptune,0.084,25.137
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.01,25.147
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.095,25.243
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.461,25.704
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.015,25.719
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.073,25.792
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.21,26.002
Interno,telnet,Externa,media,conexion,buffer_overflow,0.135,26.137
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.119,26.256
AnonimoExterno,private,Externa,corta,conexion,normal,0.121,26.377
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.045,26.422
Interno,pop_3,Externa,corta,conexion,normal,0.035,26.457
Interno,telnet,Externa,muy_larga,conexion,normal,0.166,26.623
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.166,26.789
AnonimoExterno,csnet_ns,Externa,muy_corta,conexion,neptune,0.202,26.99
AnonimoExterno,IRC,Externa,muy_corta,conexion,normal,0.244,27.235
AnonimoExterno,smtp,Externa,muy_corta,envio,normal,0.072,27.307
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.07,27.376
Interno,telnet,Externa,larga,conexion,normal,0.16,27.536
Interno,http,Externa,larga,consulta,normal,0.105,27.641
AnonimoExterno,remote_job,Externa,corta,conexion,normal,0.121,27.762
Interno,smtp,Externa,larga,envio,normal,0.159,27.921
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.221,28.142
AnonimoExterno,finger,Externa,corta,conexion,normal,0.041,28.183
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.047,28.23
AnonimoExterno,ecr_i,Externa,muy_corta,conexion,normal,0.01,28.24
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.086,28.326
Interno,smtp,Externa,larga,envio,normal,0.004,28.33
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.063,28.393
AnonimoExterno,private,Externa,corta,conexion,normal,0.078,28.471
Interno,telnet,Externa,media,conexion,normal,0.034,28.505
AnonimoExterno,private,Externa,muy_corta,conexion,portsweep,0.089,28.594
AnonimoExterno,auth,Externa,muy_corta,conexion,sendmail,0.003,28.597
Interno,http,Externa,muy_larga,consulta,normal,0.004,28.601
AnonimoExterno,private,Externa,corta,conexion,normal,0.173,28.774
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.045,28.819
AnonimoExterno,auth,Externa,corta,conexion,normal,0.014,28.832
Interno,http,Externa,muy_corta,consulta,normal,0.074,28.906
AnonimoExterno,ftp,Externa,muy_corta,subida,neptune,0.147,29.053
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.024,29.077
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.098,29.175
AnonimoExterno,finger,Externa,media,conexion,normal,0.009,29.184
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.005,29.189
Interno,ftp,Externa,larga,subida,normal,0.076,29.265
Interno,http,Externa,larga,consulta,normal,0.078,29.343
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.101,29.444
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.129,29.574
AnonimoExterno,private,Externa,media,conexion,satan,0.372,29.946
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.073,30.019
AnonimoExterno,finger,Externa,media,conexion,normal,0.039,30.058
Interno,telnet,Externa,media,conexion,perl,0.159,30.216
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.032,30.248
AnonimoExterno,http,Externa,muy_corta,consulta,normal,0.058,30.306
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.008,30.314
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.003,30.316
AnonimoExterno,private,Externa,larga,conexion,normal,0.329,30.645
Interno,smtp,Externa,muy_corta,envio,normal,0.181,30.826
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.119,30.945
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.053,30.997
Interno,pop_3,Externa,corta,conexion,normal,0.019,31.016
Interno,telnet,Externa,corta,conexion,normal,0.017,31.033
Interno,smtp,Externa,larga,envio,normal,0.029,31.062
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.08,31.142
Invitado,ftp,Externa,media,subida,normal,0.125,31.267
Interno,pop_3,Externa,corta,conexion,normal,0.108,31.375
Interno,pop_3,Externa,corta,conexion,normal,0.033,31.408
AnonimoExterno,smtp,Externa,muy_larga,envio,normal,0.31,31.718
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.134,31.852
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.081,31.933
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.095,32.027
Interno,http,Externa,muy_larga,consulta,normal,0.054,32.082
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.028,32.11
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.044,32.154
Interno,http,Externa,muy_corta,consulta,normal,0.142,32.296
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.001,32.297
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.012,32.31
Interno,telnet,Externa,larga,conexion,normal,0.005,32.314
AnonimoExterno,auth,Externa,corta,conexion,normal,0.004,32.319
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.193,32.512
AnonimoExterno,private,Externa,larga,conexion,normal,0.122,32.634
AnonimoExterno,pop_2,Externa,muy_corta,conexion,satan,0.064,32.698
Interno,http,Externa,larga,consulta,normal,0.01,32.708
AnonimoExterno,X11,Externa,muy_larga,conexion,normal,0.068,32.776
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.064,32.84
AnonimoExterno,ftp_data,Externa,muy_corta,descarga,normal,0.019,32.859
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.057,32.916
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.051,32.967
AnonimoExterno,domain_u,Externa,larga,lectura,normal,0.096,33.062
Interno,telnet,Externa,larga,conexion,normal,0.101,33.163
AnonimoExterno,private,Externa,muy_corta,conexion,snmpgetattack,0.005,33.168
InternoPrivilegiado,ftp,Externa,media,subida,normal,0.047,33.215
AnonimoExterno,ftp,Externa,corta,subida,guess_passwd,0.098,33.313
AnonimoExterno,telnet,Externa,media,conexion,normal,0.07,33.383
AnonimoExterno,ftp_data,Externa,corta,descarga,normal,0.194,33.577
Interno,telnet,Externa,media,conexion,xterm,0.107,33.685
AnonimoExterno,IRC,Externa,media,conexion,normal,0.018,33.703
AnonimoExterno,domain_u,Externa,muy_larga,lectura,normal,0.007,33.71
Interno,smtp,Externa,media,envio,normal,0.103,33.813
Interno,http,Externa,larga,consulta,normal,0.003,33.815
AnonimoExterno,domain_u,Externa,corta,lectura,normal,0.088,33.903
Interno,telnet,Externa,muy_larga,conexion,normal,0.282,34.185
Interno,telnet,Externa,larga,conexion,normal,0.086,34.271
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.049,34.32
AnonimoExterno,private,Externa,larga,conexion,normal,0.103,34.423
AnonimoExterno,ftp,Externa,corta,subida,normal,0.061,34.484
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.079,34.563
AnonimoExterno,private,Externa,corta,conexion,normal,0.284,34.847
AnonimoExterno,telnet,Externa,muy_larga,conexion,normal,0.049,34.896
AnonimoExterno,private,Externa,corta,conexion,normal,0.325,35.221
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.236,35.457
Interno,telnet,Externa,corta,conexion,normal,0.022,35.478
AnonimoExterno,pop_3,Externa,corta,conexion,neptune,0.007,35.486
AnonimoExterno,finger,Externa,muy_corta,conexion,normal,0.011,35.496
Interno,smtp,Externa,corta,envio,normal,0.002,35.498
Interno,telnet,Externa,media,conexion,normal,0.01,35.508
AnonimoExterno,telnet,Externa,media,conexion,normal,0.115,35.623
Invitado,ftp,Externa,larga,subida,normal,0.007,35.63
Interno,http,Externa,media,consulta,normal,0.038,35.669
AnonimoExterno,telnet,Externa,larga,conexion,normal,0.186,35.855
Invitado,ftp,Externa,media,subida,normal,0.002,35.857
AnonimoExterno,Z39_50,Externa,muy_corta,conexion,neptune,0.168,36.026
AnonimoExterno,login,Externa,muy_corta,conexion,saint,0.033,36.059
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.013,36.071
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.119,36.191
AnonimoExterno,IRC,Externa,corta,conexion,normal,0.099,36.29
AnonimoExterno,ftp,Externa,muy_larga,subida,normal,0.21,36.5
AnonimoExterno,domain_u,Externa,media,lectura,normal,0.133,36.633
AnonimoExterno,eco_i,Externa,muy_corta,conexion,saint,0.163,36.795
AnonimoExterno,telnet,Externa,media,conexion,normal,0.033,36.828
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.02,36.848
AnonimoExterno,private,Externa,muy_corta,conexion,nmap,0.139,36.987
AnonimoExterno,IRC,Externa,muy_larga,conexion,normal,0.164,37.151
AnonimoExterno,ftp,Externa,corta,subida,normal,0.466,37.617
AnonimoExterno,ntp_u,Externa,muy_corta,conexion,normal,0.053,37.67
AnonimoExterno,eco_i,Externa,muy_corta,conexion,normal,0.047,37.717
AnonimoExterno,ftp_data,Externa,media,descarga,normal,0.15,37.867
AnonimoExterno,private,Externa,muy_corta,conexion,normal,0.042,37.908
AnonimoExterno,other,Externa,muy_corta,conexion,normal,0.267,38.175
Invitado,ftp,Externa,media,subida,normal,0.195,38.371
Interno,smtp,Externa,media,envio,normal,0.056,38.427
Invitado,ftp,Externa,larga,subida,normal,0.139,38.566
